text,label
"Có gợi ý máy chip MediaTek Dimensity 1200, RAM 4GB, bộ nhớ 512GB không?",multi
"Cần máy chạy mượt, RAM từ 8GB trở lên",ram
Camera bao nhiêu MP là tốt?,camera
Tầm giá 3-15 triệu có máy gì ngon?,price_range
"Có máy nào chip Snapdragon 888, camera 108MP không?",multi
Giá điện thoại từ 7 triệu đến 14 triệu,price_range
RAM hay chip quan trọng hơn?,ram_question
Giá điện thoại từ 3 triệu đến 12 triệu,price_range
Cần pin trâu tầm 3000mAh,battery
Pin 5000mAh dùng được bao lâu?,battery_question
Chip điện thoại ảnh hưởng gì?,chip
Điện thoại nào có camera 48MP?,camera
Điện thoại HONOR có bền không?,brand
Nhiều MP hơn có đẹp hơn không?,camera_question
Chip điện thoại là gì?,chip_question
Chip điện thoại ảnh hưởng gì?,chip
"Cần máy lưu được nhiều ảnh, tầm 64GB",storage
RAM 6GB có ổn không?,ram
RAM là gì?,ram_question
Pin yếu có thay được không?,battery_question
Nên chọn 128GB hay 256GB?,storage_question
"Cần máy lưu được nhiều ảnh, tầm 128GB",storage
Nên chọn 128GB hay 256GB?,storage_question
"Điện thoại nào camera 48MP, bộ nhớ 256GB, giá dưới 18 triệu?",multi
Pin yếu có thay được không?,battery_question
Bộ nhớ ngoài có quan trọng?,storage_question
Bộ nhớ nhiều để làm gì?,storage_question
Pin với RAM cái nào quan trọng?,battery_question
"Điện thoại nào có pin 3000mAh, camera 12MP và giá khoảng 17 triệu?",multi
Điện thoại nào có bộ nhớ 256GB?,storage
Camera bao nhiêu MP là tốt?,camera
Dung lượng pin có quan trọng không?,battery_question
Bộ nhớ ngoài có quan trọng?,storage_question
Chip tốt có cần RAM cao không?,chip
Nhiều MP hơn có đẹp hơn không?,camera_question
Điện thoại pin 5000mAh tốt không?,battery
RAM 6GB có ổn không?,ram
"Cần máy lưu được nhiều ảnh, tầm 128GB",storage
Tôi muốn mua điện thoại khoảng 4 đến 17 triệu,price_range
Camera 108MP chụp đẹp không?,camera
Bộ nhớ nhiều để làm gì?,storage_question
Máy nào có pin 4000mAh?,battery
Bộ nhớ nhiều để làm gì?,storage_question
Bộ nhớ nhiều để làm gì?,storage_question
Bộ nhớ nhiều để làm gì?,storage_question
128GB đủ xài không?,storage
RAM 4GB có tốt không?,ram_question
Pin yếu có thay được không?,battery_question
Điện thoại nào dưới 16 triệu?,price_range
Nên chọn 128GB hay 256GB?,storage_question
Pin 3000mAh dùng 1 ngày đủ không?,battery
"Máy nào có RAM 6GB, bộ nhớ 256GB và pin 6000mAh?",multi
RAM hay chip quan trọng hơn?,ram_question
"Chip với RAM, cái nào quan trọng hơn?",chip_question
Máy dùng chip yếu có lag không?,chip
RAM càng cao càng tốt đúng không?,ram_question
"Pin 4000mAh, RAM 4GB, chip MediaTek Dimensity 1200 có chơi game tốt không?",multi
Tại sao nhiều người thích chip Snapdragon?,chip
Pin 6000mAh dùng được bao lâu?,battery_question
128GB đủ xài không?,storage
"Cần máy lưu được nhiều ảnh, tầm 64GB",storage
"Cần máy chạy mượt, RAM từ 8GB trở lên",ram
Chip nào tốt cho chơi game?,chip_question
"Cần máy lưu được nhiều ảnh, tầm 512GB",storage
Dung lượng pin có quan trọng không?,battery_question
Nhiều MP hơn có đẹp hơn không?,camera_question
RAM hay chip quan trọng hơn?,ram_question
Tầm giá 6-18 triệu có máy gì ngon?,price_range
Pin yếu có thay được không?,battery_question
Camera góc rộng là gì?,camera_question
Chip quan trọng như thế nào trong điện thoại?,chip
Điện thoại nào dưới 11 triệu?,price_range
Snapdragon khác MediaTek không?,chip
128GB đủ xài không?,storage
RAM 6GB có tốt không?,ram_question
128GB đủ xài không?,storage
RAM 6GB có ổn không?,ram
RAM là gì?,ram_question
Pin yếu có thay được không?,battery_question
RAM 8GB có ổn không?,ram
Tecno có máy nào pin trâu không?,brand
Điện thoại pin 5000mAh tốt không?,battery
"Cần máy lưu được nhiều ảnh, tầm 64GB",storage
Điện thoại nào dưới 14 triệu?,price_range
Giá điện thoại từ 5 triệu đến 20 triệu,price_range
"Điện thoại nào pin 3000mAh, chip MediaTek Dimensity 1200, chụp hình tốt?",multi
Chip điện thoại là gì?,chip_question
OPPO có dòng máy nào giá rẻ?,brand
Camera là gì?,camera_question
128GB đủ xài không?,storage
Camera 64MP khác gì 108MP?,camera_question
Điện thoại nào có bộ nhớ 512GB?,storage
"Cần máy chạy mượt, RAM từ 4GB trở lên",ram
Chip với RAM cái nào quan trọng hơn?,chip
Nên chọn 128GB hay 256GB?,storage_question
Xài 64GB có thiếu không?,storage_question
Bộ nhớ nhiều để làm gì?,storage_question
Máy nào RAM ít nhất 4GB?,ram
Máy dùng chip yếu có lag không?,chip
Làm sao biết chip nào mạnh hơn?,chip
RAM hay chip quan trọng hơn?,ram_question
"Cần máy chụp ảnh đẹp, camera tầm 48MP",camera
"Cần máy lưu được nhiều ảnh, tầm 256GB",storage
realme có máy nào mới?,brand
"Cần máy lưu được nhiều ảnh, tầm 128GB",storage
Tôi muốn mua điện thoại khoảng 7 đến 20 triệu,price_range
Pin 5000mAh dùng được bao lâu?,battery_question
Tôi muốn máy có storage 64GB,storage
Chip quan trọng như thế nào trong điện thoại?,chip
Tầm giá 8-18 triệu có máy gì ngon?,price_range
vivo có hỗ trợ cập nhật phần mềm lâu không?,brand
HONOR thường ra mắt máy mới tháng mấy?,brand
"Chip với RAM, cái nào quan trọng hơn?",chip_question
Chip quan trọng như thế nào trong điện thoại?,chip
Có máy nào của Masstel không?,brand
RAM càng cao càng tốt đúng không?,ram_question
Pin với RAM cái nào quan trọng?,battery_question
Máy nào có pin 3000mAh?,battery
Nhiều MP hơn có đẹp hơn không?,camera_question
Pin 5000mAh với chip MediaTek Dimensity 1200 có tốt không?,multi
Thương hiệu Viettel có uy tín không?,brand
Pin 4000mAh dùng được bao lâu?,battery_question
Pin yếu có thay được không?,battery_question
