text,label,answer
Shop ơi,greeting,
Chụp hình sắc nét không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Có hỗ trợ thẻ nhớ không?,storage_question,"Bộ nhớ trong từ 128GB đến 512GB, có hỗ trợ mở rộng bằng thẻ nhớ."
Cảm ơn nhé,goodbye,
Máy có hỗ trợ chụp đêm không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Hẹn gặp lại,goodbye,
Có máy Xiaomi không?,brand_question,
Máy có hỗ trợ quay phim 4K không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Máy này giá bao nhiêu?,price_request,
Hello,greeting,
Máy dùng được mấy tiếng?,battery_question,"Pin 5000mAh dùng thoải mái cả ngày, hỗ trợ sạc nhanh 33W."
Bao nhiêu tiền?,price_request,
Chụp hình đẹp không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Có hỗ trợ thẻ nhớ không?,storage_question,"Bộ nhớ trong từ 128GB đến 512GB, có hỗ trợ mở rộng bằng thẻ nhớ."
Shop ơi,greeting,
Có điện thoại Samsung không?,brand_question,
Bên mình bán iPhone chứ?,brand_question,
Tạm biệt,goodbye,
Máy này giá bao nhiêu?,price_request,
Giá điện thoại là bao nhiêu vậy?,price_request,
Giá điện thoại là bao nhiêu vậy?,price_request,
Chụp hình sắc nét không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Chào shop,greeting,
Cảm ơn nhé,goodbye,
Camera của điện thoại này mấy chấm?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Chụp hình rõ không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Chụp hình đẹp không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Chụp hình đẹp không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
Chào shop,greeting,
Chào shop,greeting,
Bye shop,goodbye,
Tạm biệt,goodbye,
Bye shop,goodbye,
Chào shop,greeting,
Chụp hình đẹp không?,camera_question,"Điện thoại này có camera chính 50MP, hỗ trợ quay phim 4K và chụp ảnh chất lượng cao."
