Product,Brand,FinalPrice,RAM,Storage,RearCameraResolution,BatteryCapacity
iPhone 14 Pro Max,Apple,31000000,6,256,48,4323
Galaxy S23 Ultra,Samsung,32000000,12,256,200,5000
iPhone 13 Pro,Apple,25000000,6,128,12,3095
Asus ROG Phone 7,Asus,26000000,16,512,50,6000
Sony Xperia 1 V,Sony,32000000,12,256,48,5000
OnePlus 11,OnePlus,17000000,16,256,50,5000
Xiaomi 13 Pro,Xiaomi,22000000,12,256,50,4820
Huawei P50 Pro,Huawei,21500000,8,256,50,4360
OPPO Find X5 Pro,OPPO,28000000,12,256,50,5000
ZTE Nubia RedMagic 8 Pro,ZTE,19000000,12,256,50,6000
POCO F5 Pro,Xiaomi,11000000,8,256,64,5160
Realme GT Neo 5,Realme,11500000,12,256,50,5000
Vivo V25 Pro,Vivo,9800000,8,128,64,4830
Galaxy S22,Samsung,18000000,8,128,50,3700
Honor Magic 5 Pro,Honor,12900000,12,256,50,5100
iPhone 11,Apple,11000000,4,64,12,3110
Asus Zenfone 9,Asus,13500000,8,128,50,4300
Motorola Edge 40,Motorola,11000000,8,256,50,4400
Nokia X30,Nokia,9500000,8,256,50,4200
OPPO Reno8,OPPO,10500000,8,128,64,4500
Realme 11 Pro+,Realme,11000000,8,256,200,5000
Redmi Note 12 Pro,Xiaomi,7000000,6,128,50,5000
Galaxy A54,Samsung,9500000,8,128,50,5000
Infinix Zero Ultra,Infinix,8200000,8,256,200,4500
Vivo V27e,Vivo,8200000,8,256,64,4600
Tecno Camon 20 Premier,Tecno,7900000,8,256,108,5000
Motorola G73,Motorola,7500000,8,256,50,5000
OnePlus Nord CE 3 Lite,OnePlus,6500000,8,128,108,5000
iPhone SE 2022,Apple,11500000,4,64,12,2018
Redmi 12,Xiaomi,4000000,4,128,50,5000
Redmi Note 11,Xiaomi,4500000,4,64,50,5000
Realme C55,Realme,4300000,6,128,64,5000
Realme Narzo 50A,Realme,3500000,4,128,50,6000
Realme C30,Realme,2500000,2,32,8,5000
Galaxy M14,Samsung,4500000,4,64,50,6000
Galaxy A14,Samsung,3600000,4,64,50,5000
Vivo Y02,Vivo,2500000,2,32,8,5000
Vivo Y36,Vivo,5000000,8,128,50,5000
Infinix Hot 30i,Infinix,2700000,4,128,13,5000
Infinix Note 30,Infinix,4200000,8,128,64,5000
OPPO A17K,OPPO,2700000,3,64,8,5000
OPPO A78,OPPO,5500000,8,128,50,5000
Tecno Spark 10 Pro,Tecno,3300000,4,128,50,5000
Nokia G22,Nokia,3900000,4,128,50,5050
Nokia C31,Nokia,2800000,3,64,13,5050
Xiaomi Redmi A1,Xiaomi,2300000,2,32,8,5000
Honor X8a,Honor,4900000,6,128,100,4500
Itel P40,Itel,1800000,2,64,13,6000
Vsmart Star 5,Vsmart,2500000,3,64,13,5000
Coolpad Cool 20,Coolpad,2900000,4,64,13,4500
Mobell Nova N5,Mobell,2000000,2,32,8,4000
Masstel N6,Masstel,1800000,2,32,8,3000
